"Case","Case Name","Region","Status","Date Filed","Date Closed","Reason Closed","City","State","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Employees on charge/petition","Allegations","Union","Unit Sought","Voters","lat","long","formatted_address","accuracy","accuracy_type","source","address_components.city","address_components.county","address_components.state","address_components.zip","address_components.country","seached","lat_jit","long_jit","stable_address_key","match_type"
"01-RC-347723","Comcast MO of Delaware LLC","Region 01, Boston, Massachusetts","Open","08/06/2024","","","South Yarmouth","MA","A","Single Labor Organization","Initial","05/21/2025",21,NA,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 2322",15,"",NA,"",NA,2,17,"",1,"","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 2322","All full-time and regular part-time network maintenance technicians employed out of the Employer’s 10 Old Townhouse Rd, South Yarmouth, MA 02664 facility; but excluding all installation & service technicians, office clerical employees, confidential employees, managers, guards, and professional employees and supervisors as defined in the Act.","","","",20,"","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 2322","Included: All Network Maintenance Technicians

Excluded:
All clerical & confidential employees, managers, and supervisors as defined by the Act

",21,41.66861,-70.2005,"South Yarmouth, MA 02664",1,"place","TIGER/Line® dataset from the US Census Bureau","South Yarmouth","Barnstable County","MA","2664","US",1,41.7672646969507,-70.0062264874224,NA,NA
"01-RC-353555","Lynx FBO Providence, LLC d/b/a Atlantic Aviation","Region 01, Boston, Massachusetts","Open","10/28/2024","","","Warwick","RI","A","Single Labor Organization","Initial","12/05/2024",24,NA,"International Brotherhood of Teamsters Local 251",10,"",NA,"",NA,11,29,"",8,"Y","","INCLUDED: All full-time and regular part-time line service technicians and fuel technicians employed by the Employer at its 544 Airport Road, Warwick, RI location. 

EXCLUDED: All office clerical employees, managers, guards, and supervisors as defined by the Act. 

OTHERS PERMITTED TO VOTE: The parties agree that customer service representatives may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.

","","","",18,"","","Included: All full time and regular part-time Line Service Technician, and Fuel Technician. Excluded: AII other employees, managers, office personnel, guards, supervisors as defined in the Act (National Labor Act)",24,41.70247,-71.47902,"Warwick, RI 02886",1,"place","TIGER/Line® dataset from the US Census Bureau","Warwick","Kent County","RI","2886","US",1,41.8722022051041,-71.150637424814,NA,NA
"01-RC-354925","Mass General Brigham","Region 01, Boston, Massachusetts","Open","11/15/2024","","","Boylston","MA","A","Single Labor Organization","Initial","05/30/2025",237,1,"Doctors Council, Service Employees International Union Local 10MD",183,"",NA,"",NA,26,209,"",18,"","Doctors Council, Service Employees International Union Local 10MD","All full-time, part-time, and per diem academic physicians practicing primary care at Mass General Hospital Primary Care or Brigham and Women's Hospital Primary Care in the locations listed below; but excluding all non-physicians, contracted physicians, managers, guards and supervisors as defined in the Act.","","","",400,"","Doctors Council, Service Employees International Union Local 10MD","Included: All full-time, part-time, and per diem academic physicians practicing primary care at Mass General Hospital Primary
Care or Brigham and Women's Hospital Primary Care.
Excluded: All other non-physicians, contracted physicians, and supervisors as defined by the National Labor Relations Act.",237,42.39176,-71.70368,"Boylston, MA 01505",1,"place","TIGER/Line® dataset from the US Census Bureau","Boylston","Worcester County","MA","1505","US",1,42.4442710932067,-71.2583125035393,NA,NA
"01-RC-358638","TRANSDEV SERVICES, INC. d/b/a SOUTH COAST TRANSIT MANAGEMENT","Region 01, Boston, Massachusetts","Open","01/21/2025","","","New Bedford","MA","A","Single Labor Organization","Initial","06/05/2025",40,NA,"AMALGAMATED TRANSIT UNION, LOCAL 174",19,"",NA,"",NA,11,30,"",2,"","FALL RIVER LOCAL UNION NUMBER 174 OF THE AMALGAMATED TRANSIT UNION and AMALGAMATED TRANSIT UNION LOCAL 1037","All full-time and regular part-time ticket agents, call center employees, customer service employees, operations supervisors (including dispatchers, road supervisors, dispatch supervisors, and training supervisors), garage foremen, procurement officers (buyers), and parts managers employed by the Employer out of  its 601 Brayton Avenue, Fall River, MA; 118 4th Street, Fall River, MA; 65 Potomska Street, New Bedford, MA; and 134 Elm Street New Bedford, MA, 846 Cumberland Hill Road, Woonsocket, Rhode Island facilities, but excluding all confidential employees, managers, guards, and professional employees and supervisors as defined in the Act.","","","",35,"","FALL RIVER LOCAL UNION NUMBER 174 OF THE AMALGAMATED TRANSIT UNION and AMALGAMATED TRANSIT UNION LOCAL 1037","Included: All full-time and regular part-time ticket agents, call center employees, customer
service employees, dispatchers, dispatch supervisors, road supervisors, garage
foremen, procurement officers, and parts managers. ATU seeks an Armour-Globe self-determination election to add these employees to the existing unit at the facilities.

Excluded: All other employees, and all managers, and guards and supervisors as defined in the
Act.",40,41.633416,-70.951045,"New Bedford, MA 02740",1,"place","TIGER/Line® dataset from the US Census Bureau","New Bedford","Bristol County","MA","2740","US",1,41.470139460583,-71.1017459963971,NA,NA
"01-RC-359305","Starbucks Corporation","Region 01, Boston, Massachusetts","Open","01/30/2025","","","Northampton","MA","","","","",NA,NA,"Workers United a/w Service Employees International Union",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",20,"","","Included: All full-time and regular part-time baristas and shift managers at its store at 303
King Street E, Northampton, MA (Store #59964).
Excluded: All store managers, assistant store managers, office clericals, guards, professionals, supervisors.",NA,42.321488,-72.630588,"Northampton, MA 01060",1,"place","TIGER/Line® dataset from the US Census Bureau","Northampton","Hampshire County","MA","1060","US",1,42.0742376321127,-72.5929865430226,NA,NA
"01-RC-359812","Boston Medical Center Corporation","Region 01, Boston, Massachusetts","Open","02/06/2025","","","Roslindale","MA","","","","",NA,NA,"1199SEIU, United Healthcare Workers East",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",36,"","","PROFESSIONAL UNIT: VOTING GROUP A
Included: All full-time and regular part-time professional employees, including Clinical Social Workers, Staff Nurses, and Licensed Practical Nurses, employed by Boston Medical Center working at Greater Roslindale Medical and Dental Center in Roslindale, MA.
 
Excluded:  All professional casual employees, non-professional employees, Medical Providers, Dentists, managers, guards and supervisors as defined in the Act. 

NON-PROFESSIONAL UNIT: VOTING GROUP B
Included:  All full-time, and regular part-time non-professional employees, including Medical Assistants, Medical Technicians, Lead Dental Assistants, Dental Assistants, Patient Access Representatives, Referral Coordinators, Phlebotomists, Pharmacy Liaisons, Call Center Workers, Senior Patient Account Specialists, and Community Health Workers employed by Boston Medical Center working at Greater Roslindale Medical and Dental Center in Roslindale, MA.
 
Excluded:  All non-professional casual employees, confidential employees, managers, guards and professional employees and supervisors as defined in the Act.

OR

In the event the majority of the voting Professionals (Voting Group A) vote to be included in a unit with nonprofessional employees (Voting Group B), the following combined unit is appropriate. 
COMBINED UNIT
Included: All full-time and part-time professional and non-professional employees, including Clinical Social Workers, Staff Nurses, Licensed Practical Nurses, Medical Assistants, Medical Technicians, Lead Dental Assistants, Dental Assistants, Patient Access Representatives, Referral Coordinators, Phlebotomists, Pharmacy Liaisons, Call Center Workers, Senior Patient Account Specialists, and Community Health Workers employed by Boston Medical Center working at Greater Roslindale Medical and Dental Center in Roslindale, MA.
Excluded:  All non-professional and professional casual employees, Medical Providers, Dentists, confidential employees, managers, guards and supervisors as defined in the Act.

OTHERS PERMITTED TO VOTE (CHALLENGED BALLOTS):  The parties agree that Dental Hygienists may vote in the election, but their ballots will be challenged since their classification as professionals or non-professionals has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit(s).  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.
",NA,42.284197,-71.120896,"Roslindale, MA 02131",1,"place","TIGER/Line® dataset from the US Census Bureau","Roslindale","Suffolk County","MA","2131","US",1,42.2904841149275,-71.2353764751966,NA,NA
"01-RC-362178","PetSmart, LLC","Region 01, Boston, Massachusetts","Open","03/18/2025","","","East Hartford","CT","A","Single Labor Organization","Initial","04/11/2025",36,NA,"United Food and Commercial Workers Union Local 371",20,"",NA,"",NA,7,27,"",3,"","United Food and Commercial Workers Union, Local 371","All full-time and regular part-time employees employed by the Employer at its facility located at 5 Main Street, East Hartford, Connecticut; but excluding all Store Leaders, Assistant Store Leaders, Labor Management Clerks, confidential employees, temporary employees, office clerical employees, and guards, professional employees, and supervisors as defined in the Act.

	OTHERS PERMITTED TO VOTE:  The parties agree that Merchandising & Inventory Leaders, Customer Engagement Leaders, Pet Salon Leaders, PetsHotel Leader and Assistant PetsHotel Leaders may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.
","","","",37,"","United Food and Commercial Workers Union, Local 371","All full-time and regular part-time employees employed by the Employer at its facility located at 5 Main Street, East Hartford, Connecticut; but excluding all Store Leaders, Assistant Store Leaders, Labor Management Clerks, confidential employees, temporary employees, office clerical employees, and guards, professional employees, and supervisors as defined in the Act.

	OTHERS PERMITTED TO VOTE:  The parties agree that Merchandising & Inventory Leaders, Customer Engagement Leaders, Pet Salon Leaders, PetsHotel Leader and Assistant PetsHotel Leaders may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.
",36,41.779799,-72.621365,"East Hartford, CT 06108",1,"place","TIGER/Line® dataset from the US Census Bureau","East Hartford","Capitol Planning Region","CT","6108","US",1,41.4105986169198,-72.4864926566088,NA,NA
"01-RC-365899","Starbucks Corporation","Region 01, Boston, Massachusetts","Open","05/19/2025","","","South Boston","MA","A","Single Labor Organization","Initial","06/26/2025",13,NA,"Workers United a/w Service Employees International Union",5,"",NA,"",NA,5,10,"",1,"Y","","Included: All full-time and regular part-time baristas employed by the Employer at its facility located at 749 East Broadway, South Boston, MA 02127.
Excluded: All store managers, assistant store managers, shift managers, office clerical employees, guards, professional employees and supervisors as defined by the Act.","","","",15,"","","Included:  All full-time and regular part-time baristas
Excluded:  Others",13,42.333431,-71.049495,"South Boston, MA 02127",1,"place","TIGER/Line® dataset from the US Census Bureau","South Boston","Suffolk County","MA","2127","US",1,41.9282087398396,-71.1948916433182,NA,NA
"01-RC-368449","Starbucks Corporation","Region 01, Boston, Massachusetts","Open","06/30/2025","","","Westport","CT","A","Single Labor Organization","Initial","08/05/2025",20,NA,"Workers United, a/w Service Employees International Union",6,"",NA,"",NA,7,13,"",NA,"","","Included: All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility located at 1000 Post Road East, Westport, CT 06880.

Excluded: All store managers, assistant store managers, office clerical employees, guards, professional employees and supervisors as defined by the Act.","","","",20,"","","Included: All full-time and regular part-time baristas and shift supervisors.
Excluded: Others.",20,41.144496,-73.343261,"Westport, CT 06880",1,"place","TIGER/Line® dataset from the US Census Bureau","Westport","Western Connecticut Planning Region","CT","6880","US",1,41.3932677678305,-73.1655895491113,NA,NA
"01-RC-371026","Cape Cod Healthcare, Inc.","Region 01, Boston, Massachusetts","Open","08/08/2025","","","Hyannis","MA","","","","",NA,NA,"Massachusetts Nurses Association",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",193,"","","Included: All FT, PT, PD Nurse Practitioners, Physician Assistants, Certified Nurse Midwives. Excluded: Guards and supervisors, all other employees as defined by the Act.",NA,41.65289,-70.2828,"Hyannis, MA 02601",1,"place","TIGER/Line® dataset from the US Census Bureau","Hyannis","Barnstable County","MA","2601","US",1,41.2710625063361,-70.6075705795802,NA,NA
"01-RC-372964","Camberville Coffee Roasters, LLC d/b/a Broadsheet Coffee Roasters","Region 01, Boston, Massachusetts","Open","09/09/2025","","","Cambridge","MA","A","Single Labor Organization","Initial","12/04/2025",16,NA,"New England Joint Board of UNITE HERE",6,"",NA,"",NA,7,13,"",2,"Y","","Included: All full-time and regular part-time baristas, barista shift leads, production leads, and roasters employed by the Employer at its 100 Kirkland Street, Cambridge, MA and 373 Washington Street, Somerville location.
Excluded: Café Managers, Head of Wholesale, office clerical employees, confidential employees, managers, guards, and professional employees and supervisors as defined in the Act.  

","","","",16,"","","Included:  All full-time regular part-time baristas, shift leads, bakers, lead bakers, production assistants, head roasters, assistant roasters, and production leads employed by Broadsheet Coffee Roasters.

Excluded: Clerical employees, confidential employees, professional employees, guards, managers, and supervisors as defined by the National Labor Relations Act.",16,42.380442,-71.132947,"Cambridge, MA 02138",1,"place","TIGER/Line® dataset from the US Census Bureau","Cambridge","Middlesex County","MA","2138","US",1,42.8258881820424,-71.3024974349191,NA,NA
"01-RC-374712","Babson College","Region 01, Boston, Massachusetts","Open","11/17/2025","","","Wellesley","MA","","","","",NA,NA,"AMERICAN COALITION OF PUBLIC SAFETY (ACOPS)",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",22,"","","Included: Patrol Officers, Patrol Sergeants, Detectives, Community Service Officers

Excluded: Administrative Sergeant, Detective Sergeant, Superior Officers
",NA,42.300596,-71.27875,"Wellesley, MA 02181",1,"place","TIGER/Line® dataset from the US Census Bureau","Wellesley","Norfolk County","MA","2181","US",1,42.5832322377964,-71.7475724755228,NA,NA
"01-RC-374776","NCR ATLEOS CORPORATION","Region 01, Boston, Massachusetts","Open","11/17/2025","","","Hudson","ME","","","","",NA,NA,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 2222",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",3,"","","Included: All Customer Engineers (CEs); CE Senior, CE-2 Senior.
Excluded: All clerical, confidential employees, supervisors, managers as defined by the Act.",NA,45.006054,-68.884621,"Hudson, ME 04449",1,"place","TIGER/Line® dataset from the US Census Bureau","Hudson","Penobscot County","ME","4449","US",1,44.9055906571471,-69.1174215714808,NA,NA
"01-RC-375337","Oldcastle APG Northeast, Inc.","Region 01, Boston, Massachusetts","Open","11/21/2025","","","Cranston","RI","A","Single Labor Organization","Initial","12/18/2025",8,NA,"International Brotherhood of Teamsters Local 251",4,"",NA,"",NA,3,7,"",1,"","INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251","Included: All full-time and regular part-time machine operators, maintenance and forklift operators.

Excluded: All office clerical employees, confidential employees, managers, guards, professional employees, and supervisors as defined in the Act.
","","","",7,"","INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251","lncluded: All full time & regular part-time machine operator, maintenance & forklift operators

Excluded: All clerical employees, confidential employees and managers, guard and professional employees and supervisors defined in the Act. 
",8,41.7917,-71.435251,"Cranston, RI 02910",1,"place","TIGER/Line® dataset from the US Census Bureau","Cranston","Providence County","RI","2910","US",1,41.3626493013564,-71.4249526256582,NA,NA
"01-RC-377065","Yarde Metals, Inc.","Region 01, Boston, Massachusetts","Open","12/15/2025","","","Southington","CT","","","","",NA,NA,"International Brotherhood of Teamsters Local 671",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",30,"","","Included: Delivery Driver; Loader/Driver, DE Driver CDL.
Excluded: everyone else.",NA,41.604786,-72.871945,"Southington, CT 06489",1,"place","TIGER/Line® dataset from the US Census Bureau","Southington","Capitol Planning Region","CT","6489","US",1,41.4900569087077,-72.8080798007806,NA,NA
"01-RC-377102","Yarde Metals, Inc.","Region 01, Boston, Massachusetts","Open","12/15/2025","","","Southington","CT","","","","",NA,NA,"International Brotherhood of Teamsters Local 671",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",12,"","","Included: Equipment Technician, Maintenance Technician, Welder, Maintenance/Truck Driver.
Excluded: everyone else.",NA,41.604786,-72.871945,"Southington, CT 06489",1,"place","TIGER/Line® dataset from the US Census Bureau","Southington","Capitol Planning Region","CT","6489","US",1,41.7784957355071,-72.8101749340796,NA,NA
"01-RC-377851","Starbucks Corporation","Region 01, Boston, Massachusetts","Open","12/23/2025","","","Salem","NH","","","","",NA,NA,"Workers United a/w Service Employees International Union",NA,"",NA,"",NA,NA,NA,"",NA,"","","","","","",22,"","","Included:  All full-time and regular part-time baristas and shift supervisors.
Excluded:  Store managers, guards, supervisors, others.",NA,42.78842,-71.20089,"Salem, NH 03079",1,"place","TIGER/Line® dataset from the US Census Bureau","Salem","Rockingham County","NH","3079","US",1,43.1896690583118,-71.6008257768334,NA,NA
